#CODE;UKRAINIAN;x
EVTDESC_ZE_22610;To the masterful [Root.GetTitledFirstName],\n\nI am [From.GetTitledFirstName], [From.GetJobTitle] of [From.Liege.GetTitledFirstName].\nYour skill as a [Root.GetJobTitle] on the Council of [Root.Liege.GetTitledFirstName] is known far and wide. I implore you to advise me in matters of politics, so that I may serve my liege as admirably as you serve yours.\n\nRegards,\n[From.GetTitledName];x
EVTOPTA_ZE_22610;A touching request, I will help you!;x
EVTOPTB_ZE_22610;Fraternizing with the enemy? I think not!;x
EVTDESC_ZE_22620;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI agree to lend you advice on how to serve on the Council more effectively. Along with this letter I have enclosed a book which treatise my own experience as a [From.GetJobTitle], I hope its contents will serve you well!\n\nRegards,\n[From.GetTitledName];x
EVTOPTA_ZE_22620;Truly a great [From.GetManWoman]!;x
EVTDESC_ZE_22630;To the [GetFromRootInsult] [Root.GetFirstName],\n\nDo you really think I would convey my secrets to you? You are a pathetic [From.GetJobTitle] and I do not see that changing soon!\n\nSincerely,\n[From.GetTitledName];x
EVTOPTA_ZE_22630;I was foolish to ask...;x
EVTOPTB_ZE_22630;Why the...! [From.GetSheHeCap] dares to insult me when I ask for help?;x
EVTOPTC_ZE_22630;Perhaps some money will change [From.GetHerHis] tone?;x
EVTDESC_ZE_22640;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nKnow that I will never forget what you did for me! Please do not hesitate to ask if there is anything I can do for you, and know I will treat you like the dearest of friends.\n\nSincerely,\n[From.GetTitledName];x
EVTOPTA_ZE_22640;Perfect!;x
EVTDESC_ZE_22650;To [Root.GetTitledFirstName],\n\nKnow that I asked out of curiosity and not malice, but even so I apologize for what I did.\nSincerely,\n\n[From.GetTitledName];x
EVTOPTA_ZE_22650;Perhaps I was too harsh in my response...;x
EVTDESC_ZE_22660;To the [GetFromRootInsult] [Root.GetFirstName],\n\nYou dare to refuse me help? Know that I will not soon forget this insult to my honor.\n\nSigned,\n[From.GetTitledName];x
EVTOPTA_ZE_22660;Truly a fool...;x
EVTDESC_ZE_22670;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI excuse my forward request. Perhaps some gold would make you reconsider my offer?\n\nSigned,\n[From.GetTitledName];x
EVTOPTA_ZE_22670;Well, when you put it like that!;x
EVTOPTB_ZE_22670;No amount of gold will help your cause.;x
EVTDESC_ZE_22680;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI excuse my previous behavior! Along with this letter I have enclosed a book which treatise my own experience as a [From.GetJobTitle], I hope its contents will serve you well!\n\nRegards,\n[From.GetTitledName];x
EVTOPTA_ZE_22680;I knew some gold would loosen [From.GetHerHis] tongue!;x
EVTDESC_ZE_22690;To the [GetFromRootInsult] [Root.GetFirstName],\n\nDid you really think that I could be bought? Take your money back and leave me be, you will never partake of my secrets!\n\nSigned,\n[From.GetTitledName];x
EVTOPTA_ZE_22690;It was worth a try...!;x
stats_increased_tooltip;§Y[From.GetTitledFirstName]'s§! stats are increased.\n;x
EVTDESC_ZE_22702;Your friend, [target_unlanded_friend.GetTitledFirstName], does not stand to inherit any land of [target_unlanded_friend.GetHerHis] own. You have always considered [target_unlanded_friend.GetHerHim] a [GetRootFromCompliment], and as such it would be a shame to see [target_unlanded_friend.GetHerHim] fade into irrelevance. If you were to offer [target_unlanded_friend.GetHerHim] the [target_friend_land.GetFullName] it would not only bring your friend closer, but you would also gain a vassal your entire family could trust!;x
EVTOPTA_ZE_22702;I shall offer [target_unlanded_friend.GetHerHim] land!;x
EVTOPTB_ZE_22702;Alas, [target_unlanded_friend.GetFirstName] was never meant to rule...;x
indebted_to_family_tooltip;§Y[target_unlanded_friend.GetFirstName]'s§! opinion of all your §YDynasty Members§! changes by §G50§! §Y(Loyal Servant)§!\n;x
INFAMY;§YThreat§!;x
INFAMY_DESC;§YThreat§! is a measure of how feared a Realm is. The higher this value is, the more likely nearby rulers might form a §YDefensive Pact§! to hinder further expansion. §YThreat§! increases when a Realm expands too quickly - the larger the Realm already is, the more §YThreat§! it will get. §YThreat§! decreases when a Realm shrinks, and it also decays over time. The stronger the realm is, the slower the decay will be.;x
INTERACTION_CANT_DOW_IN_COALITION;Is not fighting as part of a Defensive Pact;x
INTERACTION_CANT_LEAVE_COALITION_AT_WAR;Is not part of a Defensive Pact war opposing §Y[Recipient.GetTitledFirstName]§!;x
MAPMODE_COALITIONS;§YDefensive Pacts§!;x
MAPMODE_COALITIONS_DESC;This map mode shows any Defensive Pacts formed opposing the selected Realm.;x
COALITION_TARGET;A Defensive Pact has been formed opposing this Realm;x
VALID_COALITION_TARGET;Is Threatening enough to form a Defensive Pact against;x
COALITION_TARGETS;In a Defensive Pact opposing $TARGETS|Y$;x
PACTS_TAB_DRO;Pacts such as Alliances, Non-aggression Pacts, and Defensive Pacts are shown here.;x
REMOVE_ACTOR_FROM_COALITION;This will remove me from the Defensive Pact opposing §Y[Recipient.GetTitledFirstName]§!.;x
REMOVE_RECIPIENT_FROM_COALITION;This will remove §Y[Recipient.GetTitledFirstName]§! from the Defensive Pact opposing me.;x
JOINED_WAR_DEFENSIVE_COALITION_SETUP;Joined Defensive Pact War;x
JOINED_WAR_DEFENSIVE_COALITION_LOG;$ALLY|Y$ has accepted a call to arms from $CALLER|Y$ opposing $TARGET|Y$. Due to a Defensive Pact, $ALLY|Y$ had no other choice.;x
START_COALITION;Form Defensive Pact Against;x
LEAVE_COALITION;Leave Defensive Pact;x
JOIN_COALITION;Join Existing Defensive Pact;x
START_COALITION_LONG_DESC;A Defensive Pact is a group of characters uniting opposing a common enemy who has grown too big and become too much of a threat. If the target of the Defensive Pact attacks any member of the Pact, the members will unite in a war to stop their common enemy.;x
start_coalition_opposing;Do you want to start a Defensive Pact opposing $TARGET|Y$?;x
leave_coalition_opposing;Do you want to leave the Defensive Pact opposing $TARGET|Y$?;x
join_coalition_opposing;Do you want to join the existing Defensive Pact opposing $TARGET|Y$?;x
coalition_title;Defensive Pact opposing $TARGET$;x
RELATION_COALITION_TARGET;$TARGET|Y$ is opposed by a Defensive Pact that $MEMBER|Y$ is a member of.;x
RELATION_COALITION_MEMBER;$MEMBER|Y$ is a member of a Defensive Pact opposing $TARGET|Y$;x
COALITION_STARTED_SETUP;Defensive Pact Formed;x
COALITION_STARTED_LOG;$MEMBER|Y$ formed a Defensive Pact opposing $TARGET|Y$;x
COALITION_JOINED_SETUP;Joined Defensive Pact;x
COALITION_JOINED_LOG;§Y$MEMBER$§! joined the existing Defensive Pact opposing §Y$TARGET$§!;x
COALITION_LEFT_SETUP;Left Defensive Pact;x
COALITION_LEFT_LOG;§Y$MEMBER$§! left the Defensive Pact opposing §Y$TARGET$§!;x
COALITION_DISSOLVED_SETUP;Defensive Pact Disbanded;x
COALITION_DISSOLVED_LOG;The Defensive Pact opposing §Y$TARGET$§! has been disbanded.;x
GAME_SETUP_COALITION_TARGET_ICON;Is the target of a Defensive Pact with $NUM_MEMBERS|Y$ members in it.;x
GAME_SETUP_COALITION_MEMBER_ICON;Is in a Defensive Pact opposing $TARGET|Y$ together with $NUM_MEMBERS|Y$ other members.;x
BADBOY_EFFECT;$DIRECTION$ $VALUE$ Threat.\n;x
TRANSFER_INFAMY;Threat from $SOURCE$;x
INFAMY_NON_RULER_DESC;Cannot gain Threat since $CHARACTER|Y$ is not a ruler.;x
alert_high_infamy_instant;§YYou are Threatening!§!;x
RELEASE_VASSAL_INTERACTION_0;Grant Independence to §Y[Recipient.GetTitledFirstName]§W. [Recipient.GetSubjectPronounCap] will be duly grateful (§G+$OPINION$§! Opinion, §G$INFAMY$%§! Threat).;x
GRANT_LANDED_TITLE_INTERACTION_6;Grant the §Y[ThirdPartyTitle.GetFullName]§W and all titles under it to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§! and lowering your Threat by §G$INFAMY$%§!.;x
GRANT_LANDED_TITLE_INTERACTION_1;Grant the §Y[ThirdPartyTitle.GetFullName]§W to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§! and lowering your threat by §G$INFAMY$%§!.;x
INTERACTION_COALITION_REQUIRES_INFAMY_LIMIT;§Y[Recipient.GetTitledFirstName]§! must have at least $NUM|Y0%$ Threat;x
COALITION_SIZE;Threat: $INFAMY|%Y0$/$LIMIT|%Y0$;x
INFAMY_LOWER_TRIGGER;$CHAR|Y$ Threat lower than $VALUE|Y$.;x
INFAMY_HIGHER_TRIGGER;$CHAR|Y$ Threat higher than $VALUE|Y$.;x
CHANGE_INFAMY_EFFECT;$CHAR|Y$ Threat $VALUE|Y$ added.\n;x
nogovernment;No Government;x
nogovernment_desc;No Government;x
alert_council_discontent_name;Council Discontent;x
alert_liege_council_discontent_name;Liege Council Discontent;x
alert_peace_soon_enforced_name;Realm Peace Imminent;x
alert_peace_being_enforced_name;Realm Peace Enforced;x
alert_my_peace_soon_enforced_name;My Realm will soon be at Peace;x
alert_high_infamy_name;Threatening;x
EVTDESC_ZE_23000;Being on your liege's council is not always easy. You have a huge amount of work that needs attention and there is so much to do. The list seems endless. Just as you are about to give up, [target_help_councillor.GetTitledFirstName] steps through the door and asks if you want any help. As tempting it may be, you would be in [target_help_councillor.GetHerHis] debt for it.;x
EVTOPTA_ZE_23000;I suppose I could use some help...;x
EVTOPTB_ZE_23000;No! I can manage!;x
EVTDESC_ZE_23001;When casually strolling around the premises, as one often do, you come across [From.GetTitledFirstName] sitting at [From.GetHerHis] desk, overburdened with work. Seeing this as the perfect opportunity to help [From.GetHerHim] out and perhaps gain a favor in return, you offer a helping hand. [From.GetSheHeCap] looks at you with heavy eyes and after a moment, decides to accept your offer!;x
EVTOPTA_ZE_23001;I wasn't doing anything important anyway.;x
EVTDESC_ZE_23002;When casually strolling around the premises, as one often do, you come across [From.GetTitledFirstName] sitting at [From.GetHerHis] desk, overburdened with work. You see this as a great opportunity to help [From.GetHerHim] out and gain a favor in return. But to your surprise, [From.GetSheHe] not only refuses your help but has the nerve to insult you for it!;x
EVTOPTA_ZE_23002;Ha! Well good luck with that work of yours!;x
EVTDESC_ZE_23005;Every ruler needs to go out and meet the peasants in person from time to time. Just to make sure that they know you still exist if nothing else. As you visit the locals of [helping_vassal.Capital.GetName], you speak very frankly about what you think of them. Something that they took great offense in it seems. You look back to ensure that your guards are there to keep you out of harm's way, only to notice that they have all gone into the local tavern! Before you know it, the peasants begin to throw things at you!;x
EVTOPTA_ZE_23005;I could run to [helping_vassal.GetTitledFirstName] and hide there!;x
EVTOPTB_ZE_23005;Maybe I can just outrun them?;x
EVTOPTA_ZE_23005_custom_tooltip_a;Run for safety at the nearby residence of [helping_vassal.GetTitledFirstName] and hope that [helping_vassal.GetSheHe] will help.;x
EVTOPTA_ZE_23005_custom_tooltip_b;[Root.GetTitledName] getting away safely;x
EVTDESC_ZE_23006;You are calmly minding your own business, when you suddenly hear an awful ruckus outside. You open the door to see [From.GetTitledFirstName] running towards you with a mob of angry peasants at [From.GetHerHis] heels! If you would offer [From.GetHerHim] a place to hide, [From.GetSheHe] would truly be in your debt.;x
EVTOPTA_ZE_23006;Quickly! Over here!;x
EVTOPTB_ZE_23006;I'm not getting involved in this!;x
EVTDESC_ZE_23007;As you get closer you can see [From.GetTitledFirstName] standing in a doorway waving at you! You hurry towards [From.GetHerHim] and once inside, [From.GetFirstName] quickly closes the door. Safe at last. Who would ever have thought that peasants would be so easily insulted?;x
EVTOPTA_ZE_23007;Thank you! I owe you one.;x
EVTDESC_ZE_23008;Running as fast as you possibly could, you see [From.GetTitledFirstName] standing in a doorway. But instead of offering you a safe place to hide, [From.GetSheHe] quickly closes the door right in front of you! Leaving you to fend for yourself!;x
EVTOPTA_ZE_23008;Why that little...;x
change_composition_mercenary_company_feudal;Send Equipment to Company;x
change_composition_mercenary_company_feudal_desc;By sending more equipment to the Mercenary Company, they will be able to equip lighter units to become heavier units and change its composition.;x
send_troops_mercenary_company_feudal;Send Troops to Company;x
send_troops_mercenary_company_feudal_desc;By paying for more troops for the Mercenary Company you can increase its size.;x
EVTDESC_ZE_23101;I can send equipment of higher quality to the troops of [From.PrimaryTitle.GetName] in order to change its troop composition and make them perform better in combat.;x
EVTOPTA_ZE_23101;Send equipment for heavy infantry.;x
EVTOPTB_ZE_23101;Send equipment for pikemen.;x
EVTOPTC_ZE_23101;Send equipment for heavy cavalry.;x
EVTOPTD_ZE_23101;I changed my mind.;x
EVTDESC_ZE_23106;I have the possibility to send troops to [From.GetFirstName] and his [From.PrimaryTitle.GetName] to reinforce them.;x
EVTOPTA_ZE_23106;Send more soldiers.;x
EVTOPTB_ZE_23106;Send more cavalry.;x
EVTDESC_ZE_23152;While being in your service, [From.GetTitledFirstName] has been speaking to you about his employer, [merc_band_employer.GetTitledFirstName]. So far you have only heard good things about [merc_band_employer.GetHerHim] and it has made you intrigued. Perhaps one should try to establish contact and offer a pact or a meeting?;x
EVTOPTA_ZE_23152;I shall write a letter at once!;x
EVTOPTB_ZE_23152;This person is of no interest to me.;x
EVTDESC_ZE_23154;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nYour servant [FromFrom.GetTitledFirstName] has been speaking a great deal about you and your virtues. I would be delighted to meet you face to face and as such, I invite you to a grand feast to be held in your name.\n\n[From.GetTitledName];x
EVTOPTA_ZE_23154;Of course I shall attend!;x
EVTOPTB_ZE_23154;I have no interest in such an arrangement.;x
EVTDESC_ZE_23155;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI received your letter and read it with much joy. I would love to attend your feast, and will make preparations to depart shortly.\n\n[From.GetTitledName];x
EVTOPTA_ZE_23155;Splendid!;x
EVTDESC_ZE_23156;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI appreciate your letter and the effort you put into it. Unfortunately, I am afraid that I am unable to attend at this time.\n\n[From.GetTitledName];x
EVTOPTA_ZE_23156;How disappointing.;x
EVTDESC_ZE_23157;When [FromFrom.GetTitledFirstName] arrived, you welcomed [FromFrom.GetHerHim] with great splendor and expressed your happiness of having [FromFrom.GetHerHim] there. The two of you ate and spoke at great length about all sorts of things. When it was time for [FromFrom.GetFirstName] to leave, you had not only decided on a non-aggression pact, but could also depart as friends!;x
EVTOPTA_ZE_23157;Let us do this again sometime!;x
EVTTITLE_ZE_23157;Attended feast together;x
EVTDESC_ZE_23158;When you arrived, [From.GetTitledFirstName] was there to welcome you in the most grandeur of ways. [From.GetSheHe] showed you inside, where you ate and spoke at great length and had a great time together. Both of you decided on a non-aggression pact and could also depart as friends!;x
EVTOPTA_ZE_23158;I was glad to have accepted your invitation!;x
#INFAMY_LOWER_TRIGGER;$CHAR|Y$ Infamy lower than $VALUE|Y$.;x
#INFAMY_HIGHER_TRIGGER;$CHAR|Y$ Infamy higher than $VALUE|Y$.;x
#CHANGE_INFAMY_EFFECT;$CHAR|Y$ Infamy $VALUE|Y$ added.;x
RESTORE_SUCCESSION_EFFECT;$TITLE|Y$ restores the law of $LAW|Y$.;x
succ_council_elective;Council Elective;x
COUNCIL_SUCCESSION_VOTE_ON;Enables council voting on succession;x
COUNCIL_SUCCESSION_VOTE_OFF;Disables council voting on succession;x
ATTRITION_SHATTERED_HOSTILE_TERRITORY;Shattered retreat in enemy territory: §R+$VALUE$%§!;x
ATTRITION_SHATTERED_NEUTRAL_TERRITORY;Shattered retreat in neutral territory: §R+$VALUE$%§!;x
ATTRITION_SHATTERED_FRIENDLY_TERRITORY;Shattered retreat in friendly territory: §R+$VALUE$%§!;x
SHATTERED_IGNORES_LEADER_ATTRITION;Shattered armies ignores leaders attrition reduction;x
#BATTLE_WARSCORE_LIMIT_ATTACKERS;Warscore from battles is limited to $VALUE$ for attackers;x
#BATTLE_WARSCORE_LIMIT_DEFENDERS;Warscore from battles is limited to $VALUE$ for defenders;x
INTERACTION_CANNOT_BREAK_FAVOR_BETROTHAL;Favor wasn't used to arrange the betrothal;x
haughty_desc;This child is proud and vain, convinced of their own superiority. Can develop into: §YProud§!, §YArbitrary§! or §YCruel§!.;x
affectionate_desc;This child is kind and is quick to show love and affection. Can develop into: §YKind§!, §YContent§! or §YTrusting§!.;x
timid_desc;This child is shy and quiet and usually avoids open conflicts. Can develop into: §YHumble§!, §YShy§! or §YCraven§!.;x
rowdy_desc;This child is loud and lively and usually prefers rough physical activity over calmer pursuits. Can develop into: §YBrawny§!, §YHonest§! or §YDull§!.;x
willful_desc;This child is stubborn and strong-willed, and doesn't obey or give way easily. Can develop into: §YAmbitious§!, §YBrave§! or §YStubborn§!.;x
brooding_desc;This child is a quiet thinker, often sitting inside in deep ponderings as others play outside in the sun. Can develop into: §YJust§!, §YWroth§! or §YEnvious§!.;x
indolent_desc;This child is very averse to any kind of exertion, be it mental or physical. Can develop into: §YCharitable§!, §YSlothful§! or §YGluttonous§!.;x
playful_desc;This child loves to engage in fun and games, almost always turning any activity into an excuse to play. Can develop into: §YGregarious§!, §YDeceitful§! or (rarely) §YLunatic§!.;x
conscientious_desc;This child is unusually scrupulous and responsible, taking delight in completing any chores and tasks to perfection. Can develop into: §YDiligent§! or §YTemperate§!.;x
fussy_desc;This child is very particular about details which seem trivial to others, sometimes to the point of causing anxiety and frustration. Can develop into: §YPatient§!, §YGreedy§! or §YParanoid§!.;x
curious_desc;This child has an inquisitive nature and is constantly asking questions and poking around looking for new and interesting things. Can develop into: §YShrewd§!, §YCynical§! or §Ysympathies for other religions§!.;x
idolizer_desc;This child is easily impressed and also has a fervent desire to seek for ultimate truths. Can develop into: §YZealous§!, §YErudite§! or §YFrail§!.;x
CHRONICLE_RUNESTONE_POSSESSED;[Root.GetTitledName] raised a rune stone as a reminder that the demonic lord Xuhmalz of the Realm of Zulmarakh will return in the next millennia to bring destruction and chaos upon this pitiful world.;x
CHRONICLE_HELD_NERGE;[Root.GetTitledName] held a great nerge at [Root.Location.GetName].;x
EVTDESC_ZE_10076;To the [GetFromRootInsult] [Root.GetTitledFirstName].\n\nMy men and I have put up with your leeching of our abilities for too long now. You failed to treat us with the proper respect on multiple occasions and therefore we will from now on pay no respect or allegiance towards you. It will be my pleasure to aid your enemies to defeat your armies on the battlefield.;x
EVTOPTA_ZE_10076;That ungrateful [GetRootFromInsult]!;x
#pattern_selfish_affects_council_stability_tooltip;This affects the stability of the Council!;x
tooltip_disables_advisors;\nDisables the Advisor minor titles for Kings and Emperors\n;x
tooltip_enables_advisors;\nEnables the Advisor minor titles for Kings and Emperors.\n;x
opinion_denied_request;Denied Request;x
#EDUCATE_CHARACTER_INTERACTION_LONG_DESC_CONCLAVE;At age 6, a guardian can be entrusted with your child. A guardian's religion and culture as well as some traits can affect your child's upbringing.;x
EVTOPTX_ZE_6021;No, I had something else in mind.;x
EVTOPTY_ZE_6021;[From.GetSheHeCap] should be my Advisor.;x
well_mannered;Well Mannered;x
ask_for_pardon;Ask for Pardon;x
ask_for_pardon_desc;Call in a §YFavor§! to remove any reason to banish, execute, imprison or revoke titles your liege may have.;x
EVTDESC_ZE_8120;The crooked [pardon_target.GetBestName] has called in the Favor you owe [pardon_target.GetHerHim] in order to force you to pardon [pardon_target.GetHerHis] devious crimes! You will no longer be able to take hostile actions against [pardon_target.GetHerHim] without looking like a tyrant in the eyes of the realm.;x
EVTOPTA_ZE_8120;Forgive and forget.;x
faction_powerful_vassal_takeover_title;Overthrow [From.Liege.GetBestName];x
opinion_abdicated;Abdicated on Request;x
EVTDESC8220;You are a tyrant and a [GetFromRootInsult]! We will no longer stand idly by as you ignore the Council and the well-being of your subjects. The time has come for you to abdicate in favor of [new_title_holder.GetFullName]! Submit to this demand peacefully or face the consequences.\n\nSigned,\n[From.GetTitledName];x
EVTDESC8223;Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and abdicate the throne. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName];x
faction_powerful_vassal_takeover_ultimatum;Demand Abdication;x
faction_powerful_vassal_takeover_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding that [Root.Liege.GetSheHe] abdicates in favor of the most liked vassal in the realm. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;x
CB_NAME_POWERFUL_VASSAL_TAKEOVER;Oust Ruler;x
WAR_NAME_POWERFUL_VASSAL_TAKEOVER;$ORDER$War to Oust $DEFENDER$ from Power;x
AIREASON_IS_MY_VASSAL;Is my Vassal;x
EVTOPTREFUSE_WOL100;It will never happen.;x
EVTDESC_WOL_119;Apparently [FromFromFrom.GetBestName] has a reputation for not giving in to flirting. Any more time spent chasing [FromFromFrom.GetHerHim] is a waste.;x
EVTOPTA_WOL_119;Moving on.;x
EVTDESC_WOL_120;The response from [From.GetBestName] wasn't quite what I expected, apparently I am to 'stay away forever'.;x
EVTOPTA_WOL_120;So be it.;x
opinion_seduced_refused;Refused Seduction;x
dismissed_proposal;Rejecting Seduction Attempts;x
EVTDESC8225;I am humbled by the responsibility given to me today. I accept the title of [new_title_holder.GetTitle] to serve you every way that I can. Your efforts to make a change will be remembered.\n\n[new_title_holder.GetTitledName];x
EVTOPTA8225;Wonderful.;x
EVTDESC8226;The faction led by [From.GetBestName] won their war and have chosen me as successor to the title of [Root.GetTitle]. In the future I am expected to show generosity towards anyone who helped make this happen.;x
EVTOPTA8226;A great honor.;x
EVTOPTHAU;May lead to §YHaughty§!;x
EVTOPTAFF;May lead to §YAffectionate§!;x
EVTOPTTIM;May lead to §YTimid§!;x
EVTOPTROW;May lead to §YRowdy§!;x
EVTOPTWIL;May lead to §YWillful§!;x
EVTOPTBRO;May lead to §YBrooding§!;x
EVTOPTIND;May lead to §YIndolent§!;x
EVTOPTPLA;May lead to §YPlayful§!;x
EVTOPTCON;May lead to §YConscientious§!;x
EVTOPTFUS;May lead to §YFussy§!;x
EVTOPTIDO;May lead to §YIdolizer§!;x
EVTOPTHAU_FROM;§Y[From.GetFirstName]§! may gain §YHaughty§!;x
EVTOPTAFF_FROM;§Y[From.GetFirstName]§! may gain §YAffectionate§!;x
EVTOPTTIM_FROM;§Y[From.GetFirstName]§! may gain §YTimid§!;x
EVTOPTROW_FROM;§Y[From.GetFirstName]§! may gain §YRowdy§!;x
EVTOPTWIL_FROM;§Y[From.GetFirstName]§! may gain §YWillful§!;x
#EVTOPTBRO_FROM;§Y[From.GetFirstName]§! may gain §YBrooding§!;x
EVTOPTIND_FROM;§Y[From.GetFirstName]§! may gain §YIndolent§!;x
EVTOPTPLA_FROM;§Y[From.GetFirstName]§! may gain §YPlayful§!;x
EVTOPTCON_FROM;§Y[From.GetFirstName]§! may gain §YConscientious§!;x
EVTOPTFUS_FROM;§Y[From.GetFirstName]§! may gain §YFussy§!;x
EVTOPTIDO_FROM;§Y[From.GetFirstName]§! may gain §YIdolizer§!;x
pattern_selfish_affects_council_stability_tooltip;This affects the stability of the Council!\n;x
pattern_glory_hound_weakening_ruling_dynasty_tooltip;I do not want you to weaken your Dynasty!\n;x
pattern_glory_hound_weakening_powerful_vassal_tooltip;I do not want you to weaken Powerful vassals!\n;x
pattern_glory_hound_defenseless_child_tooltip;There is no glory in this, the character is a defenseless child!\n;x
pattern_pragmatist_dislike_landing_ruling_family_tooltip;I do not want you to grant land to your Dynasty!\n;x
pattern_pragmatist_were_already_busy_fighting_tooltip;We're already busy fighting another war\n;x
pattern_pragmatist_were_not_already_busy_fighting_tooltip;We are not occupied with another war\n;x
pattern_zealot_should_focus_on_great_holy_war;There is an ongoing [Root.Religion.GetCrusadeName] that I want us to focus on\n;x
pattern_zealot_fromfrom_is_pious_tooltip;The target is pious and of my religion\n;x
pattern_vastly_over_demesne_tooltip;You are vastly over your Demesne Limit and are handing out a Barony or a County\n;x
out_of_patience;Out of Patience;x
chattermouth;Chattermouth;x
too_honest;Too Honest;x
impious_teachings;Impious Teachings;x
opinion_hypocrite;Hypocrite;x
opinion_boring;Boring;x
EVTOPTC_ZE_13620;[From.GetFirstName] must learn on [From.GetHerHis] own.;x
EVTDESC_ZE_13625;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in some of my experienced areas. It will require hard work and may not always be appreciated but this is my chance to make a self-sacrifice for the sake of [From.GetFirstName].;x
EVTDESC_ZE_13620;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, diplomacy. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;x
