#CODE;RUSSIAN;x
EVTDESC_HL_5057;Ворвавшись в лагерь, минуя палатки и костры, мы видели совсем немного разбойников, но чувство, что их гораздо больше не покидало меня. Добежав до центра лагеря мы заметили, как необычная фигура выходит из большого шатра и ухмыляясь приветствует меня - их предводитель.;x
EVTOPTA_HL_5057;Напасть на него.;x
EVTOPTB_HL_5057;Предложить им золото за уход с моих земель.;x
EVTOPTC_HL_5057;Убедить их не нападать на путешественников.;x
EVTDESC_HL_5058;Мне искренне казалось, что эти невежды внимательно слушают все мои пространные речи о достоинствах цивилизованной жизни, верховенстве права и неприкосновенности частной собственности, но даже не пришло в голову подумать о том, что происходит прямо за моей спиной. Предводитель легко кивнул, и что-то крепко шарахнуло меня по затылку, оставив без сознания.;x
EVTOPTA_HL_5058;Ай!;x
EVTDESC_HL_5059;Нарастающие звуки смеха и криков разбудили меня. Невозможность потянуться и протереть глаза дало ясно понять - меня связали. Разбойники напялили на меня идиотскую одежду и провели по округе, требуя выкуп за моё освобождение.;x
EVTOPTA_HL_5059;Заплатить им.;x
EVTOPTB_HL_5059;Молить о пощаде.;x
EVTDESC_HL_5060;Наш план прокрасться в лагерь незамеченными полагаясь на темноту, оказался нелепой ошибкой. Вскоре мы обнаружили, что окружены численно превосходящим нас противником.;x
EVTOPTA_HL_5060;Стойте! Мы сдаёмся!;x
EVTOPTB_HL_5060;Ну что, девочки, потанцуем?;x
EVTDESC_HL_5061;Расправившись с дозорными, мы незаметно прокрались в лагерь разбойников и проникли в палатку их лидера. Пока он мирно спал, мой клинок оказался прямо у его горла. Внезапно он открыл глаза, пытаясь понять, что он только что увидел. Нужно действовать быстро!;x
EVTOPTA_HL_5061; "Убирайся с моих земель, или умрешь!";x
EVTOPTB_HL_5061;Перерезать ему горло и биться с разбойниками.;x
caravan_raiders;Разорители караванов;x
caravan_raiders_desc;В этом округе орудуют банды разбойников, что серьёзно затрудняет торговлю.;x
caravan_guards;Охрана караванов;x
caravan_guards_desc;Специальная служба в этом округе охраняет караваны от налётов и защищает торговлю.;x
trade_governor;Торговый инспектор;x
trade_governor_desc;Торговля в этом округе находится под надзором опытного администратора.;x
opinion_refused_order;Нарушил приказ;x
dung_collector;Уборщик навоза;x
surge_of_traders;Наплыв торговцев;x
chinese_embargo;Китайское эмбарго;x
publicly_humiliated;Публично унижен;x
NOT_FORBIDDEN_LEAD_SELF;В настоящий момент Вам РАЗРЕШЕНО лично вести войска в бой.\n§GКликните, чтобы запретить себе это.§!;x
FORBIDDEN_LEAD_SELF;В настоящий момент Вам ЗАПРЕЩЕНО лично вести войска в бой.\n§GКликните, чтобы позволить себе это.§!;x
job_commander;Полководец;x
ASSIGN_LEADER;Назначить полководца;x
APPOINT_COMMANDER_INTERACTION_TITLE;Назначить полководцем;x
APPOINT_COMMANDER_INTERACTION_DESC;§Y[Recipient.GetTitledFirstName]§W станет одним из Ваших полководцев.;x
APPOINT_COMMANDER_INTERACTION_LONG_DESC;Только сам правитель, военный советник и те, кто был назначен полководцами могут командовать войсками на поле боя.;x
APPOINT_COMMANDER_INTERACTION_ACCEPT_SETUP;Назначен полководец;x
APPOINT_COMMANDER_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetTitledFirstName]§W стал[Recipient.GetEndA] полководцем. §Y[Actor.GetBestName]§W назначил[Actor.GetEndA] [Recipient.GetHersHis] на эту должность.;x
APPOINT_COMMANDER_INTERACTION_DECLINE_SETUP;Назначение полководцем отклонено;x
APPOINT_COMMANDER_INTERACTION_DECLINE_LOG;§Y[Recipient.GetTitledFirstName]§W отказа[Recipient.GetLasLsya] принять должность полководца, которую [Recipient.GetHerHim] предложил[Actor.GetEndA] §Y[Actor.GetBestName]§W;x
RESIGN_COMMANDER_INTERACTION_TITLE;Лишить командования;x
RESIGN_COMMANDER_INTERACTION_DESC;§Y[Recipient.GetTitledFirstName]§W освободится от своей должности полководца;x
RESIGN_COMMANDER_INTERACTION_LONG_DESC;Если полководец ранен, болен или стар, снять его с должности весьма полезно;x
RESIGN_COMMANDER_INTERACTION_ACCEPT_SETUP;Полководец отстранён;x
#RESIGN_COMMANDER_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W освободил[Actor.GetEndA] полководца, известного как §Y[Recipient.GetTitledFirstName]§W, от занимаемой должности;x
NOT_MEMBER_OF_COUNCIL;Удостоверьтесь, что §Y[Recipient.GetTitledFirstName]§W НЕ состоит в Совете при дворе правителя, известного как §Y[Actor.GetBestName]§W;x
#MUST_BE_A_COMMANDER;§Y[Recipient.GetTitledFirstName]§W must be one of §Y[Actor.GetBestName]'s§W Commanders;§Y[Recipient.GetTitledFirstName]§W doit кtre un des commandants de §Y[Actor.GetBestName]§W;§Y[Recipient.GetTitledFirstName]§W muss ein Kommandant von §Y[Actor.GetBestName]§W sein;;§Y[Recipient.GetTitledFirstName]§W debe ser uno de los consejeros de §Y[Actor.GetBestName]§W;;;;;;;;;x
becomes_pregnant_no_father;[Root.GetFirstName] забеременеет;x
IN_HIDING_DESC;Скрывается где-то недалеко от места, известного как $LOCATION$.;x
EVTDESC_TOG_550B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, воздвигает этот камень в память о себе и своей счастливой жизни полной удовольствия.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_552B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, воздвигает этот камень в память о себе и своей жизни. Пусть этот камень расскажет о [Root.GetHersHis] непревзойдённой любви к медовухе и хмельным зельям.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_553B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, заказывает постройку этого камня при своей жизни. Истину молвят, что [Root.GetHersHis] красота и обаяние не знали себе равных в заселенных людьми землях. Альвр вырезал, Эйнар раскрасил.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_554B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, вырезает этот камень в свою честь. Несмотря на небольшой рост, [Root.GetSheHe] обладает волей гиганта. Оддр вырезал этот памятник пока [Root.GetHersHis] сердце ещё билось в груди.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_555B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\nЭтот камень стоит, потому что [Root.GetFirstName], [Root.GetSonDaughter] дикой природы, отмечает свою великую мудрость. Воистину не было ни одного такого мудреца ни среди живших в то время, ни до этого. Тук вырезал эти руны.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_556B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] несчастья, каким-то непостижимым образом всё-таки воздвигает этот камень в свою честь. Многие сказали бы, что [Root.GetHersHis] уделом была лишь никчёмность и возможно они были бы правы. Великий Тжудмунд, чье умение обращаться с женщинами было легендарным сжалился и вырезал эти слова на камне.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_557B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, повелевает воздвигнуть этот камень при своей жизни. Камень говорит о [Root.GetHersHis] силе, сравнимой с силой десяти мужчин - никто не осмеливался бросить [Root.GetHerHim] вызов. Камень был вырезан Ормом.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_558B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] знания, просит воздвигнуть этот камень в свою честь. Все завидуют знаниям, которые [Root.GetSheHe] хранит о мире и всех его чудесах. Хрольф вырезал эти слова.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_559B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, воздвигает этот камень, вырезав на нём руны и раскрасив кровью своих врагов ещё при своей жизни. Они были настолько глупы, чтобы пойти против н[Root.GetHersHis] и встретили свой конец на кольях. Эгиль вырезал эти руны перед тем, как его настиг злой рок.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_560B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\nЭтот камень стоит, потому что [Root.GetFirstName], [Root.GetSonDaughter] дикой природы, отмечает красоту окружающего мира. Словно сияющая радуга или блестящее море, [Root.GetFirstName] несет радость и свет в жизни тех, кого [Root.GetHerHim] удалось повстречать. Асбьорн неохотно вырезал эти слова.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_561B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, породив бесчисленных бастардов, воздвигает этот камень в память о себе. Так пусть же никто не отрицает [Root.GetHersHis] любовь к другим. Анунд вырезал, Горм раскрасил.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_562B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, воздвигает этот камень при своей жизни. Ни один смертный так не ценил вкусную еду, как [Root.GetFirstName]. Здесь также вырезан рецепт [Root.GetHersHis] любимого жареного кабана...\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_563B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, возводит этот камень с помощью Сигтрига. Вся страна знает о [Root.GetHersHis] великой щедрости к другим. Ни одному страннику ищущему пищу или кров в [Root.GetHersHis] владениях не было отказано.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_564B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\nЭтот камень стоит, потому что [Root.GetFirstName], [Root.GetSonDaughter] дикой природы, отмечает свою великую доброту ко всему живому. Пусть же и к н[Root.GetHerHim] так относятся другие, отныне и после смерти.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_565B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] великой славы, воздвигает этот камень, чтобы почтить наследие своих великих дел. Во всем мире не было ни одного человека, приблизившегося к [Root.GetHersHis] свершениям.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_566B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\nСловами на этом камне воспевается [Root.GetFirstName], [Root.GetSonDaughter] дикой природы, но вырезал их Тук, а расписал Рангвальд. Да будет известно, что [Root.GetFirstName] ценит простую жизнь, которая ни на что не отвлекает, и благодарит за тепло и дружбу своих близких.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_567B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\nПри своей жизни, [Root.GetFirstName], [Root.GetSonDaughter] дикой природы, создает этот камень в память о себе. Даже враги не в силах отрицать [Root.GetHersHis] великое мужество. Те, кто знал [Root.GetHersHis] могут поклясться, в моменты истинной опасности бесстрашие - [Root.GetHersHis] верный попутчик.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_568B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, воздвигает этот камень при своей жизни. Не было никого более справедливого и честного во всех отношениях. Мужчины и женщины шли к н[Root.GetHerHim] издалека чтобы разрешить свои споры. Колдбьорн вырезал эти руны.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_569B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, приказывает воздвигнуть этот камень во славу Богов. Никто не был так сильно посвящен Одину и никто так сильно не заслуживает места в Вальхалле. Эти руны были вырезаны Гримом и раскрашены Борквардом.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_570B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, приказывает воздвигнуть этот камень во славу Христа и святого Михаила. Пусть спасёт Бог [Root.GetHersHis] душу и приведет её к свету и раю. Эти руны были вырезаны Торольфом и раскрашены Бальдером.\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
EVTDESC_TOG_571B;Заказанный Вами Рунный Камень был завершен и установлен на выбранное Вами место. Вы изучаете Руны:\n\n[Root.GetFirstName], [Root.GetSonDaughter] дикой природы, вырезает эти руны при своей жизни. Не было никого ужаснее в царстве людей. Тысячи [Root.GetHersHis] врагов страдали от боли в попытках противостоять [Root.GetHerHim].\n\nВы покидаете камень, зная что через много столетий, когда краска на нём уже истлеет, мудрецы будут изучать эти вырезанные руны, чтобы почерпнуть от них мудрость.;x
IS_HEALTHY;В добром здравии;x
MODIFIER_MAX_MANPOWER;Максимум людских ресурсов;x
MODIFIER_MAX_POPULATION;Максимум населения;x
MODIFIER_MANPOWER_GROWTH;Прирост людских ресурсов;x
MODIFIER_POPULATION_GROWTH;Прирост населения;x
EVTDESC_HL_10501;Ваша плоть и кровь, [eloper.GetSonDaughter] [eloper.GetFirstName] сбежал[eloper.GetEndA] вместе с печально известным наёмником по имени [From.GetFirstName].;x
EVTOPTA_HL_10501;[GetRootFromInsult]!;x
EVTDESC_HL_10502;[eloper.GetTitledName] сбежал[eloper.GetEndA] вместе с печально известным наёмником, [From.GetHersHis] называют [From.GetTitledName].;x
SETTLEMENT_TYPE_ALLOWED;Может владеть поселением типа §Y$TYPE$§! в месте §Y$LOCATION$§!;x
SETTLEMENT_TYPE_NOT_ALLOWED;НЕ может владеть поселением типа §Y$TYPE$§! в месте §Y$LOCATION$§!;x
SETTLEMENT_TYPE_PREFERRED;§Y$TYPE$§! - предпочитаемый тип поселения;x
SETTLEMENT_TYPE_NOT_PREFERRED;§Y$TYPE$§! - не предпочитаемый тип поселения;x
TRIBAL_VASSAL_MAX_LEVY;Максимум ополчения племенных вассалов;x
#;;;;;;;;;;;;;;x
