#CODE;RUSSIAN;x
INSULT_PIGFACE;хрюшка;x #child
EVTDESC_RIP_11053_VILLAGE_DRUNKARD;Ваши лазутчики сообщают, что по их сведениям опытный и умелый лекарь проживает в ближайшей деревне. [recruited_physician_target.GetHerHimCap] не достаёт формального образования, да и, судя по всему, [recruited_physician_target.GetSheHe] т[recruited_physician_target.GetEtaEtot] ещё пьяница, но местные жители [recruited_physician_target.GetEyIm] весьма довольны. Зовут [recruited_physician_target.GetHersHis] [recruited_physician_target.GetFullName] и [recruited_physician_target.GetSheHe] согласи[recruited_physician_target.GetLasLsya] прибыть к Вашему двору.;x
EVTOPTB_RIP_11053;Это приемлимый риск, я найму [recruited_physician_target.GetHersHis].;x
EVTDESC_RIP_11053_SHIPS_PHYSICIAN;Вам сообщили, что сегодня утром в [physician_port_target.County.GetAdjective]ских доках пришвартовался корабль, капитану которого служит [recruited_physician_target.GetFirstNameWithNick], известный лекарь. Если мы предложим достаточно золота, [recruited_physician_target.GetSheHe] согласится оставить своего капитана и служить Вам.;x
EVTOPTC_RIP_11053;А говорят здоровье не купишь. Скажите, я соглас[Root.GetNaEn].;x
EVTDESC_RIP_11053_WISE_DWARF;Ваши следопыты доложили, что в [physician_forest_target.County.GetAdjective]ских лесах проживает известный целитель, карли[recruited_physician_target.GetTsaK] по имени [recruited_physician_target.GetFirstName], котор[recruited_physician_target.GetAyaYy], если и покидает лес, то только, чтобы лечить больных детей ближайшей деревни. Угрозами или похвалой, но [recruited_physician_target.GetHersHis] можно привлечь к Вашему двору.;x
EVTOPTD_RIP_11053;Приведите это сказочное существо ко мне.;x
EVTDESC_RIP_11053_JEWISH_EXILE;Вскоре после того, как разнеслась весть о том, что Вы ищете лекаря, еврей[recruited_physician_target.GetEndKa]-изгнанни[recruited_physician_target.GetTsaK] попросил[recruited_physician_target.GetEndA] у Вас аудиенции. [recruited_physician_target.GetSheHeCap] назвал[recruited_physician_target.GetEndA] себя [recruited_physician_target.GetFullName] и сказал[recruited_physician_target.GetEndA], что прежде служил[recruited_physician_target.GetEndA] многим правителям, а теперь предлагает Вам свои услуги.;x
EVTOPTE_RIP_11053;Я принимаю Ваше предложение.;x
EVTDESC_RIP_11053_CONDEMNED_SORCERER;Ваш [Root.GetSpymasterName] [Root.job_spymaster.GetTitledFirstName] сообщает, что в городе [sorcerer_city_target.GetName] поймали как[recruited_physician_target.GetUyuOgo]-то [recruited_physician_target.GetManWoman]у и обвиняют [recruited_physician_target.GetHersHis] в колдовстве. Говорят, что даже будучи в темнице, эт[recruited_physician_target.GetEtaEtot] "чародей[recruited_physician_target.GetEndKa]" успешно лечит недуги других заключённых. В полдень [recruited_physician_target.GetSheHe] будет казнен[recruited_physician_target.GetEndA], но Вы можете помиловать [recruited_physician_target.GetHersHis] и нанять как своего лекаря.;x
EVTOPTF_RIP_11053;Не смотрите так, мне нужен лекарь, даже такой...;x
EVTDESC_RIP_11053_CYNICAL_CLERGYMAN;Вскоре после того, как разнеслась весть о том, что Вы ищете лекаря, од[recruited_physician_target.GetNaIn] из священнослужителей храма [clergyman_temple_target.GetName] прибыл[recruited_physician_target.GetEndA] к Вашему двору, представившись как [recruited_physician_target.GetFirstNameWithNick]. [recruited_physician_target.GetSheHeCap] сказал[recruited_physician_target.GetEndA], что хочет служить Вам, ибо уже "сыт[recruited_physician_target.GetEndA] по горло местным духовенством".;x
EVTOPTG_RIP_11053;Ну что ж, добро пожаловать!;x
EVTDESC_RIP_11053_CHINESE_DOCTOR;Проверяя города Шёлкого пути, Ваши лазутчики встретили интересн[recruited_physician_target.GetUyuOgo] [recruited_physician_target.GetManWoman]у на одном из [chinese_silk_road_target.County.GetAdjective]ских рынков. Китайск[recruited_physician_target.GetAyaIy] путешественни[recruited_physician_target.GetTsaK] по имени [recruited_physician_target.GetFirstName] утверждает, что [recruited_physician_target.GetSheHe] - поэт и хирург, и предлагает присоединиться к Вашему двору.;x
EVTOPTH_RIP_11053;Поэт-хирург - как раз то, что мне нужно!;x
EVTDESC_RIP_11053_ARAB_SCHOLAR;Вам стало известно, что некий странствующий арабский учёный прибыл в [arab_scholar_trade_post_target.County.GetAdjective]ское торговое поселение. [recruited_physician_target.GetHersHisCap] зовут [recruited_physician_target.GetFullName], и говорят, там [recruited_physician_target.GetSheHe] работает над каким-то медицинским трактатом. Если Вы позволите [recruited_physician_target.GetHerHim] работать над ним у Вас при дворе, [recruited_physician_target.GetSheHe] примет Ваше предложение.;x
EVTOPTI_RIP_11053;Соглас[Root.GetNaEn]. Приведите [recruited_physician_target.GetHersHis] сюда.;x
EVTDESC_RIP_11053_BELOVED_WISE_MAN;Вам сообщили, что в ближайшей деревеньке проживает од[recruited_physician_target.GetNaIn] известн[recruited_physician_target.GetAyaYy] [recruited_physician_target.GetCroneElder] по имени [recruited_physician_target.GetFirstName], и местные жители [recruited_physician_target.GetHersHis] просто обожают. [recruited_physician_target.GetSheHeCap] лечит всех нуждающихся, готовит снадобья, перевязывает раны, не требуя ничего взамен. Говорит, что станет Вашим лекарем, если пожертвуете крупную сумму этой деревне.;x
EVTOPTJ_RIP_11053;Честная сделка, я соглас[Root.GetNaEn].;x
EVTDESC_RIP_11053_WANDERING_GENIUS;Ваши люди сообщают, что загадочн[recruited_physician_target.GetAyaYy] одноглаз[recruited_physician_target.GetAyaYy] [recruited_physician_target.GetManWoman]а, известн[recruited_physician_target.GetAyaYy] как [recruited_physician_target.GetFirstNameWithNick], недавно прибыл[recruited_physician_target.GetEndA] в [Root.Capital.County.GetAdjective]ские земли. Говорят, [recruited_physician_target.GetSheHe] весьма мудр[recruited_physician_target.GetEndA] и пользуется своими знаниями, чтобы помогать страждующим на своём пути. Предложив [recruited_physician_target.GetHerHim] крупную сумму золотом, можно убедить [recruited_physician_target.GetHersHis] оставить свои странствия и присоединиться к Вашему двору.;x
EVTOPTK_RIP_11053;Почему бы не предложить? Сделка выгодная, я считаю.;x
EVTDESC_RIP_11053_ERUDITE_HERBALIST;Ваши разведчики сообщили об успехе в поисках. По их словам од[recruited_physician_target.GetNaIn] весьма хорошо образованн[recruited_physician_target.GetAyaYy] травни[recruited_physician_target.GetTsaK] по имени [recruited_physician_target.GetFirstName] проживает в небольшой хижине неподалёку. [recruited_physician_target.GetSheHeCap] сказал[recruited_physician_target.GetEndA], что станет Вашим лекарем при условии, что [recruited_physician_target.GetHerHim] позволят забрать с собой и обширную коллекцию редких растений.;x
EVTOPTL_RIP_11053;Да пусть хоть всю хижину тащит, я соглас[Root.GetNaEn].;x
EVTDESC_RIP_11053_PAGAN_MYSTIC;Вам сообщили, что недалеко от наших границ проживает известный [recruited_physician_target.Culture.GetName]ий мистик, [recruited_physician_target.GetHersHis] зовут [recruited_physician_target.GetFirstName], и, что не удивительно, [recruited_physician_target.GetSheHe] - язычни[recruited_physician_target.GetTsaK], но местные уважают [recruited_physician_target.GetHerHim] и обращаются за помощью. Поговаривают, что [recruited_physician_target.GetSheHe] призывает духов, чтобы лечить больных. За небольшое вознаграждение, [recruited_physician_target.SheHe] готов[recruited_physician_target.GetEndA] стать Вашим лекарем.;x
EVTOPTM_RIP_11053;Не вижу причин для отказа.;x
EVTDESC_RIP_11053_INSANE_ZEALOT;Посланник из храма [zealot_temple_target.GetName] прибыл к Вашему двору. Он сообщил, что од[recruited_physician_target.GetNaIn] из священнослужителей желает стать Вашим придворным лекарем. Эт[recruited_physician_target.GetUOgo] [recruited_physician_target.GetAgedPersonACC] зовут [recruited_physician_target.GetFirstName], [recruited_physician_target.GetSheHe] обучен[recruited_physician_target.GetEndA] медицине и имеет соответствующий опыт. [recruited_physician_target.GetHersHisCap] коллеги с радостью избавятся от н[recruited_physician_target.GetHersHis], ибо "[recruited_physician_target.GetHersHis] религиозное рвение порой доходит до безумия".;x
EVTOPTN_RIP_11053;Наверняка они преувеличивают, а мне нужен лекарь.;x
EVTDESC_RIP_11053_WELL_TRAVELLED_PILGRIM;Лазутчики сообщили Вам, что нашли подходящего кандидата на должность лекаря. Паломни[recruited_physician_target.GetTsaK] по имени [recruited_physician_target.GetFirstName] странствовал[recruited_physician_target.GetEndA] по святым местам, и [Root.Capital.GetName] - последний пункт назначения. Во время своего путешествия [recruited_physician_target.GetSheHe] накопил[recruited_physician_target.GetEndA] массу ценных знаний в области медицины и жаждет применить их на практике.;x
EVTOPTO_RIP_11053;Я найму [recruited_physician_target.GetHersHis].;x
EVTDESC_RIP_11053_STUDENT_OF_MEDICINE;Из города [student_city_target.GetName] прибыл посол: "[Root.PrimaryTitle.GetFOA]. Нам стало известно, что Вы ищете лекаря. Разрешите предложить Вам эт[recruited_physician_target.GetUOgo] одарённ[recruited_physician_target.GetUyuOgo] [recruited_physician_target.GetAgedPersonACC] в качестве кандидата. [recruited_physician_target.GetHersHis] зовут [recruited_physician_target.GetFirstName], [recruited_physician_target.GetSheHe] ещё студент[recruited_physician_target.GetEndKa], но недавно спас[recruited_physician_target.GetNonE] жизнь дочери знатного купца, она отделалась лишь потерей глаза. Уверяю Вас, Вы не пожалеете, если наймёте [recruited_physician_target.GetHersHis]!".;x
EVTOPTP_RIP_11053;Молод[recruited_physician_target.GetAyaOy] и перспективн[recruited_physician_target.GetAyaYy]... Ведите [recruited_physician_target.GetHersHis] сюда.;x
EVTDESC_RIP_11053_BLIND_MIRACLE_WORKER;Лазутчики сообщили, что нек[recruited_physician_target.GetAyaIy] загадочн[recruited_physician_target.GetAyaYy] [recruited_physician_target.GetManWoman]а обрел[recruited_physician_target.GetEndA] известность тем, что якобы творит чудеса. [recruited_physician_target.GetSheHeCap] успешно лечит простолюдинов по всей округе. Ходят слухи, что [recruited_physician_target.GetSheHe] помог[recruited_physician_target.GetNonE] хромому ходить! [recruited_physician_target.GetHersHisCap] зовут [recruited_physician_target.GetFirstNameWithNick], и [recruited_physician_target.GetSheHe] готов[recruited_physician_target.GetEndA] стать Вашим лекарем за некоторую сумму золотом.;x
EVTOPTQ_RIP_11053;Можно ли купить чудо? Оказывается, можно!;x
EVTDESC_RIP_11053_FIELD_SURGEON;Разведчики сообщают Вам, что в [Root.Capital.County.GetAdjective]ские земли прибыла банда наёмников, в которой работает знаменитый полевой хирург по имени [recruited_physician_target.GetFirstName]. Известность свою [recruited_physician_target.GetSheHe] получил[recruited_physician_target.GetEndA] за успехи в лечении раненых солдат, особенно ампутацию конечностей. Нанять [recruited_physician_target.GetHersHis] можно относительно дешёво, учитывая то, насколько жадными обычно бываают наёмники.;x
EVTOPTR_RIP_11053;Отлично. Теперь [recruited_physician_target.GetSheHe] послужит мне.;x
EVTDESC_RIP_11053_SCHOOLED_EUNUCH;Один из Ваших лазутчиков рассказал об одном хитром евнухе, который недавно поселился в ближайшей таверне. Он любит там выпить и вкусно поесть, рассказывая разные истории постояльцам. Судя по всему, он хорошо разбирается в медицине и всевозможных снадобьях. Предложив ему изысканную пищу и золото, можно без труда уговорить его стать Вашим придворным лекарем.;x
EVTOPTS_RIP_11053;Снарядите повозку лучшими сырами и вином.;x
EVTDESC_RIP_11053_PUS_SUCKING_NUN;Один из Ваших разведчиков прибыл с новостями по поводу поисков лекаря: "[Root.PrimaryTitle.GetFOA]. Нам удалось выяснить, что в храме [nun_temple_target.GetName] проживает одна благочестивая монахиня. Там она долгие годы помогала прокажённым в лепрозории монастыря, высасывая гной из их ран и поедая их струпья, за что стала известна как [recruited_physician_target.GetFirstNameWithNick]. Если пожертвовать крупную сумму её монастырю, она согласится стать Вашим лекарем".;x
EVTOPTT_RIP_11053;Удивительная женщина. Я сделаю пожертвование.;x
EVTDESC_RIP_11053_WITCH;Ваши разведчики сообщают о некой женщине, проживающий на окраине наших земель. Поговаривают, что она - ведьма, но подтверждений этому нет. Она выразила желание стать Вашим придворным лекарем, чтобы применять свои медицинские навыки на практике. Взамен она требует самую малость - каплю Вашей крови.;x
EVTOPTU_RIP_11053;Моей крови? Всего-то? Я соглас[Root.GetNaEn].;x
EVTDESC_RIP_11053_HORSE_MD;После долгой прогулки на природе, Вы решили прилечь и немного вздремнуть, но Вас разбудил стук копыт. Подняв голову, Вы увидели, всадника. Он спешился, поклонился Вам и сказал, что как опытный придворный лекарь прибыл сюда издалека, чтобы служить Вам. Интересно предложение, хотя...;x
EVTOPTV_RIP_11053;Эт[recruited_physician_target.GetEtaEtot] [recruited_physician_target.GetMareSteed] великолеп[recruited_physician_target.GetNaEn]!  И станет отличным лекарем!;x
3_year_physician_cooldown;Вы можете искать нового лекаря не чаще чем раз в §Y3§! года;x
educated_court_physician;Обученный придворный лекарь\n;x
inaccessible_tooltip;Убедитесь, что этот человек НЕ скрывается и НЕ находится в изоляции\n;x
EVTOPTB39400;Проклятые иноверцы!;x
become_vaishya;Стать вайшьей;x
become_vaishya_desc;Обычаи Индии не позволяют менять касту. Тем не менее, для правителя, который готов изрядно потратиться на взятки и подарки... который не боится навлечь на себя гнев своих подданных, и невозможное становится возможным. Спустя поколения, кто знает, может быть все давно забудут о том, что его семья когда-то не состояла в этой касте...\nВысокообразованный человек производит лучшее впечатление, поэтому несёт меньше расходов.;x
CHRONICLE_BECAME_VAISHYA;Oтныне [Root.GetTitledFirstNameWithNick] принадлежит к касте вайшья, что делает [Root.GetHersHis] династию престижнее в глазах исповедующей [Root.Religion.GetName] аристократии.;x
typhus;Сыпной тиф;x
typhoid_fever;Брюшной тиф;x
dancing_plague;Пляшущая чума;x
dancing_plague_desc;Эт[GetEtaEtot] [GetAgedPerson] страдает от недуга, который вынуждает постоянно двигаться и не даёт остановиться. Весьма изматывающе.;x
dancing_plague_death;не в силах перестать танцевать;x
DANCING_PLAGUE_INFO;Пляшущая чума, также известная как пляска святого Вита, распространяется повсюду, как пожар. Вероятно это недуг вызван массовым отравлением спорыньёй.;x
EVTNAME_RIP_4001;Hескончаемый танец;x
EVTDESC_RIP_4001;Нечто странное творится в округе [dancing_plague_outbreak_location.GetName]. Началось всё с какого-то крестьянина, который плясал на улице, но вскоре десятки других последовали его примеру. Сейчас счёт идёт на сотни - мужчины, женщины и дети. Музыканты играют день и ночь, местным жителям не хватает времени даже поспать или поесть. Это длится уже недели и люди один за другим падают замертво от истощения.\nПохоже, танец распространяется с пугающей скоростью - эти "танцоры" недавно были замечены в соседних селениях.;x
EVTOPTA_RIP_4001;Поистине беспрецедентная ситуация!;x
EVTDESC_RIP_4002;Насладившись сытной трапезой, Вы подошли к окну, чтобы полюбоваться видом - крестьяне танцевали, как заворожённые под опьянительно прекрасную музыку. Вы даже почувствовали лёгкое беспокойство от загадочного желания поддаться этому танцу...;x
EVTOPTA_RIP_4002;Эх была не была, один раз живём!;x
EVTOPTB_RIP_4002;Лучше прилечь и успокоиться...;x
join_in_dance;Присоединиться к танцу\n;x
refuse_to_join_in_dance;Отдохнуть\n;x
EVTDESC_RIP_4003;Вы оделись и спешно направились во двор, чтобы присоединиться к танцу, но [target_physician.GetFirstName], Ваш придворный лекарь, осторожно взял[target_physician.GetEndA] Вас за руку и сказал[target_physician.GetEndA]: "[Root.PrimaryTitle.GetFOA], это плохая идея. Вам нужен отдых. Я настаиваю...";x
EVTOPTA_RIP_4003;Ну ладно, если это так важно...;x
EVTOPTB_RIP_4003;Вы не в праве указывать мне, что делать!;x
dancing_queen;Королева танцев;x
dancing_king;Король танцев;x
dancing_queen_desc;Эта женщина впечатлила крестьян своим прекрасным танцем.;x
dancing_king_desc;Этот мужчина впечатлил крестьян своим прекрасным танцем.;x
EVTDESC_RIP_4004;Вы провели многие часы, танцуя вместе с крестьянами, и это их весьма впечатлило. Они и подумать не могли, что их [Root.PrimaryTitle.GetRulerTitle] может позволить себе веселиться с простолюдинами. Этот случай запомнится им на долгие годы.;x
EVTOPTA_RIP_4004;Это было ПОТРЯСНО!;x
cant_stop_dancing;Не может перестать танцевать;x
cant_stop_dancing_desc;Эт[GetEtaEtot] [GetAgedPerson] не может перестать двигаться, руки и ноги не слушаются [GetHersHis]. Не имея возможности есть или спать, [GetSheHe] с каждым часом приближается собственной смерти.;x
EVTDESCA_RIP_4005;Поначалу было весело танцевать с простолюдинами, позабыв о всяких правилах и нормах, но вскоре Вы начали уставать. При этом у Вас не было никакого желания останавливаться. "[Root.PrimaryTitle.GetFOA], пора возвращаться. Вы опоздаете на ужин.": - напоминали Вам слуги.;x
EVTDESCB_RIP_4005;Вы решили прилечь и немного поспать, но несмотря на сонливость, никак не могли заснуть. Всё, о чём Вы могли думать - это музыка и танцы... "О, как было бы здорово присоединиться к ним на улице!": думали Вы, и вскоре уже боролись с непреодолимым желанием подвигаться. Может всё-таки пройдёт, если немного потерпеть?;x
EVTOPTA_RIP_4005;Нет! Я долж[Root.GetNaEn] танцевать!;x
EVTDESC_RIP_4006;Прошли уже месяцы с того инцидента, когда Вы впервые пустились впляс. Танцующие крестьяне падали от истощения, иногда даже ломали себе ноги. И вот внезапно Вы почувствовали, что снова можете стоять неподвижно. Что бы это ни было, оно прошло.;x
EVTOPTA_RIP_4006;Наконец-то! Я контролирую себя!;x
EVTDESC_RIP_4007;Это никогда не кончится! Раньше Вы хотя бы делали перерыв на сон и еду, но сейчас просто не можете остановиться. Ваши ноги не дают Вам покоя, Ваши руки не в силах удержать столовые приборы, а разум - сконцентрироваться на чём-либо, кроме музыки и движений.;x
EVTOPTA_RIP_4007;Не останавливайте меня. Это так здорово!;x
EVTDESC_RIP_4008;После нескольких дней непрерывной пляски усталость в ногах стала невыносимой. Вдруг что-то хрустнуло! Как подкошенн[Root.GetAyaYy], Вы упали на землю. Похоже, Ваш танец окончен.;x
EVTOPTA_RIP_4008;Аааргх!;x
TOOLTIP_DISALLOW_FEMALE_COMMANDERS;Запрещает женщинам возглавлять войска\n;x
TOOLTIP_ALLOW_FEMALE_COMMANDERS;Разрешает женщинам возглавлять войска\n;x
sadaqah_saddka;Дать садаку за мои грехи;x
hospital;Госпиталь;x
nomad_agitation;Беспокойные кочевники;x
nomad_agitation_desc;Этот округ ранее принадлежал вольным кочевникам. Его население недовольно, когда подолгу остаётся на одном месте.;x
EVTDESC_HL_4997;Ваш предшественник не обеспечил кочевое население округа [new_nomad_province.GetName] достаточным количеством поселений, и теперь у Вас нет иного выбора, кроме как дать ему выйти из состава Вашего государства. [new_nomad.GetFirstName] и [new_nomad.GetHersHis] [new_nomad_province.Culture.GetName]ий народ теперь правят этой землёй.;x
EVTDESC_HL_4994;Оседлые слабаки, владевшие округом [new_nomad_province.GetName], оказались неспособны обуздать кочевой дух живущих здесь людей. Вождь [new_nomad.GetFirstName] и [new_nomad.GetHersHis] [new_nomad_province.Culture.GetName]ий народ решили присоединиться к Вашему государству.;x
NOMADSLEAVINGTITLE;Hачался [new_nomad_province.Culture.GetName]ий мятеж;x
worship_cooldown_tooltip;Жертва предкам не приносилась в последние 10 лет.;x
SHIA_CUSTOM_FALLBACK;[Root.Capital.County.GetName];x
RULE_CULTURE_CONVERSION;Культурная ассимиляция;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS;Новые культуры;x
RULE_CULTURE_CONVERSION_SLOWER_NORMAL;Неприятие чужого;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_AND_SLOWER_NORMAL;Всё перечисленное;x
RULE_CULTURE_CONVERSION_DEFAULT_DESC;Культура распространяется с обычной скоростью.;x
RULE_CULTURE_CONVERSION_RESTRICTED_DESC;Культура не распространяется на земли, которые не граничат с землями этой культуры, если только это не порт.;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_DESC;Новые культуры появляются быстрее (такие как английская, шведская, русская и подобные).;x
RULE_CULTURE_CONVERSION_SLOWER_NORMAL_DESC;Базовый шанс на смену культуры уменьшен в 3 раза.;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_AND_SLOWER_NORMAL_DESC;Новые культуры появляются быстрее, распространение жёстко ограничено, а шанс на смену культуры уменьшен в 3 раза.;x
RULE_RELIGIOUS_CONVERSION;Переход в другую веру;x
RULE_RELIGIOUS_CONVERSION_SLOWER;Медленный;x
RULE_RELIGIOUS_CONVERSION_DEFAULT_DESC;Скорость принятия округами новой религии при помощи действия "Обратить в свою веру" не изменена.;x
RULE_RELIGIOUS_CONVERSION_SLOWER_DESC;Скорость принятия округами новой религии при помощи действия "Обратить в свою веру" сокращена в 3 раза.;x
RULE_CHARLEMAGNE_STORY;§BCharlemagne:§! Исторические события;x
RULE_CHARLEMAGNE_STORY_ON_DESC;Исторические события, связанные с Карлом Великим и его братом, доступны игроку.;x
RULE_CHARLEMAGNE_STORY_OFF_DESC;Исторические события, связанные с Карлом Великим и его братом, не доступны игроку.;x
add_symptom_tooltip;Ваше самочувствие ухудшается;x
EVTDESCRIP.5000;Вы больше не можете игнорировать першение в горле и начинаете сильно кашлять.;x
EVTDESCRIP.5001;Вы то потеете, то мёрзнете, да и в целом чувствуете себя ужасно.;x
EVTDESCRIP.5002;Неистовое бурление в животе даёт Вам чёткий сигнал, что опять пора бежать в уборную.;x
EVTDESCRIP.5003;Вас одолевает тошнота, Вы чувствуете подкатывающие рвотные позывы.;x
EVTDESCRIP.5004;Тупая боль пульсирует внутри Вашего черепа.;x
EVTDESCRIP.5005;Внезапная острая боль пронзает Вашу грудь, но уже через минуту она проходит...;x
EVTDESCRIP.5006;Боль в животе то резко усиливается, то немного затихает.;x
EVTDESCRIP.5007;Поддавшись непреодолимому желанию почесаться, Вы замечаете ярко-красную сыпь на своём теле.;x
EVTDESCRIP.5008;Вы хватаетесь за живот, корчась от острой боли.;x
EVTDESCRIP.5009;Этот день тянется целую вечность. Вы едва можете держать глаза открытыми. Похоже, у Вас совсем не осталось сил.;x
EVTDESCRIP.5010;Вы не можете понять, в чем именно дело, но чувствуете - с Вами что-то не так.;x
symptom_treatment_1;Лёгкое лечение симптомов;x
symptom_treatment_1_desc;Лечение может уменьшать или устранять эффекты заболеваний.;x
symptom_treatment_2;Достойное лечение симптомов;x
symptom_treatment_2_desc;Лечение может уменьшать или устранять эффекты заболеваний.;x
symptom_treatment_3;Хорошее лечение симптомов;x
symptom_treatment_3_desc;Лечение может уменьшать или устранять эффекты заболеваний.;x
symptom_treatment_4;Превосходное лечение симптомов;x
symptom_treatment_4_desc;Лечение может уменьшать или устранять эффекты заболеваний.;x
EVTDESC_RIP_11046_HORSE_1;[FromFrom.GetTitledFirstName] прикрепил[FromFrom.GetEndA] небольшой мешок с овсом к Вашему носу и посоветовал[FromFrom.GetEndA] всё это съесть.;x
EVTDESC_RIP_11046_HORSE_2;[FromFrom.GetTitledFirstName] натёр[FromFrom.GetNoneE] мазью всё Ваше тело. Сначала немного жгло, но потом полегчало.;x
EVTDESC_RIP_11046_HORSE_3;[FromFrom.GetTitledFirstName] поверну[FromFrom.GetLasLsya] к Вам задом и лягнул[FromFrom.GetEndA] в живот.;x
EVTDESC_RIP_11046_HORSE_4;[FromFrom.GetTitledFirstName] отвёл[FromFrom.GetEndA] Вас на луг и попросил[FromFrom.GetEndA] как следует поваляться в траве.;x
EVTDESC_RIP_11046_HORSE_5;[FromFrom.GetTitledFirstName] несколько часов расчёсывал[FromFrom.GetEndA] Вам волосы, очень расслабляюще.;x
remaining_food;Осталось продовольствия;x
RIP.11550.t;Изоляция - это не так плохо;x
RIP.11550.d;После сытного завтрака, довольно рыгнув, Вы поинтересовались, полны ли [Root.Capital.County.GetAdjective]ские кладовые. Слуга выдал своё беспокойство испуганным видом: "[Root.PrimaryTitle.GetFOA], Вы только что съели нашего последнего вепря, а запасы продовольствия на исходе. Более того...". Ваш слуга продолжил, но Вы были слишком шокированы, чтобы слушать: "Последнего вепря?!";x
RIP.11550.a;Мой личный сад может немного помочь с едой.;x
RIP.11550.b;Плохо, очень плохо...;x
RIP.11551.d;Вы объездили все [Root.Capital.County.GetAdjective]ские рынки в поисках вепря, но ничего не нашли. Оказалось, вообще больше нет никакого мяса, а еда почти закончилась. Ваш слуга должен был заметить это раньше!;x
RIP.11551.a;Пора вводить продовольственные ограничения!;x
RIP.11551.b;Попробую убедить народ затянуть пояса.;x
RIP.11551.c;Надо доесть то, что осталось, пока можно...;x
RIP.11551.e;Тяжелые времена для всех нас.;x
RIP.11552.d;Запасы продовольствия истощаются. Решив проверить кладовые, Вы заметили, что [Root.Capital.County.GetAdjective]ские подвалы кишат крысами. Если хорошенько прожарить...;x
RIP.11552.a;Суровые времена требуют суровых...;x
RIP.11552.b;Фу! Никогда!;x
RIP.11553.d;Катастрофа! [Root.Capital.County.GetAdjective]ские крысы нашли остатки запасов продовольствие и всё сожрали.;x
RIP.11554.d;Внезапный грохот вынудил Вас проверить запасы продовольствия. Вы прибыли в хранилище как раз воврем, [target_greedy_courtier.GetTitledFirstName] в панике заталкивал[target_greedy_courtier.GetEndA] в рот остатки еды.;x
RIP.11554.a;[target_greedy_courtier.GetFirstName], как ты мог[target_greedy_courtier.GetNonE]?!;x
RIP.11554.b;Вы злоупотребили моим гостеприимством.;x
RIP.11555.d;Голод сводит Вас с ума. Вы пытаетесь вспомнить, когда же в последний раз ели. Дошло уже до того, что Вы не можете смотреть на придворного, не думая о том, каков он на вкус...;x
RIP.11555.a;Похоже, в нашем меню снова появилось мясо!;x
