#CODE;RUSSIAN;x
#succ_nomad_succession_desc;Under Nomad Succession, the son or brother with the most Prestige inherits. However, the heir must be of the same culture in order to be eligible for any inheritance at all. Also, adults always have precedence over children. If the Khagan's primary heir is still a child, the child inherits the clan title but the most prestigious adult clan leader takes over the Khaganate. Other clan leaders with more Prestige than the heir always get Claims on the Khaganate.;En succession nomade, le fils ou le frиre possйdant le plus haut prestige hйrite de la fonction. Cependant, l'hйritier doit кtre de la mкme culture afin de pouvoir prйtendre а l'hйritage. Si l'hйritier principal du khagan est encore enfant, cet enfant hйrite du titre mais l'adulte le plus prestigieux du clan prend le commandement du khaganat. D'autres chefs de clans, s'ils possиdent un prestige plus йlevй que l'hйritier, reзoivent toujours une revendication sur le khanagat.;Bei der Nomadenerbfolge erbt derjenige Sohn oder Bruder, der das meiste Prestige hat. Allerdings muss der Kandidat zwingend der gleichen Kultur angehцren, um als Erbe in Frage zu kommen. Erwachsene erhalten immer den Vorzug gegenьber Kindern. Sollte der Thronfolger des Khagans noch ein Kind sein, so erbt das Kind zwar den Klan, die Fьhrung des Khaganats jedoch ьbernimmt in diesem Fall derjenige erwachsene Klanfьhrer mit dem meisten Prestige. AuЯerdem erhalten alle Klanfьhrer, die beim Machtwechsel mehr Prestige haben als der Erbe, immer einen Anspruch auf das Khaganat.;;Segъn la sucesiуn nуmada, hereda el hijo o hermano con mбs prestigio. Sin embargo, para ser elegido para cualquier herencia, el heredero debe ser de la misma cultura. Ademбs, los adultos siempre tienen prioridad sobre los niсos. Si el heredero principal de kagan es todavнa un niсo, el niсo hereda el tнtulo del clan, pero el lнder de clan mбs prestigioso asume el kaganato. Otros lнderes de clanes con mбs prestigio que el heredero siempre tendrбn derecho al kaganato.;;;;;;;;;x
recent_county_uprising;Недавнее восстание;x
prisoner_to_oubilette;Бросить в подземелье;x
prisoner_to_oubilette_desc;§Y[Root.GetTitledFirstName]§! отправится в самую глубокую яму подземелья, откуда невозможно сбежать! (Продолжительность [Root.GetHersHis] жизни серьёзно сократится).;x
prisoner_to_dungeon;Поместить в темницу;x
prisoner_to_dungeon_desc;§Y[Root.GetTitledFirstName]§! отправится в темницу, откуда будет трудно сбежать, но это не сильно сократит [Root.GetHersHis] жизнь.;x
prisoner_to_suite;Под домашний арест;x
prisoner_to_suite_desc;§Y[Root.GetTitledFirstName]§! отправится в охраняемую комнату. Риск побега велик, но [Root.GetSubjectPronoun] ни в чём не будет нуждаться и может расчитывать на долгую жизнь.;x
MODIFIER_ADDED_NO_END;$WHERE$ получит модификатор "§Y$WHAT$§!", имеющий следующие эффекты:\n$EFFECT$\n\n;x
NOMAD_LAND_OVERRUN;§YПотребность клана в землях§!;x
NOMAD_LAND_OVERRUN_DESC;Хан владеет намного большими землями по сравнению с другими кланами. Ему придётся отдать §Y$NUM$§! наделов либо столкнутся с последствиями - риск клановых восстаний дополняется ещё и возможностью того, что новый клан заявит о своём праве на место среди ведущих кланов.;x
#NOMAD_LAND_OVERRUN_GENERIC_DESC;If the Khagan holds too much land compared to the other Clans, it will affect their Sentiments, and there might even be risk of a minor Clan rising up to seize its rightful position among the major Clans...;Si le khagan possиde trop de terres comparй aux autres clans, cela affecte le sentiment de ces derniers et il est possible qu'un clan mineur accиde а un statut de clan majeur...;Wenn der Khagan im Verhдltnis zu den anderen Klans zu viel Land besitzt, trьbt dies die Stimmung der Klans und es besteht das Risiko, dass kleinere Klans sich erheben, um ihren rechtmдЯigen Platz an der Seite der grцЯeren Klans einzufordern...;;Si el kagan tiene demasiada tierra en comparaciуn con los otros clanes, afectarб a sus sentimientos, e incluso puede existir riesgo de un clan menor se alce para tomar el puesto que le corresponde entre los principales clanes...;;;;;;;;;x
SENTIMENT_VS_CLAN;Настроение в отношении клана §Y$CLAN$§!:;x
EMPTY_PROVINCES_IN_REALM;Свободные земли кочевников;x
REVOKE_TITLE_INTERACTION_1N;Отозвать §Y[ThirdPartyTitle.GetFullName]§! за §R$PRESTIGE$§! очков престижа. §Y[Recipient.GetTitledFirstName]§! ухудшит своё мнение о Вас на §R$OPINION$§!, а других некочевых вассалов на §R$OPINION2$§!.;x
EXILE_IMPRISONED_INTERACTION_LONG_DESC;Изгнание пленника сохраняет ему жизнь, но вынуждает его отречься от своих титулов в пользу наследников, его финансы при этом конфискуются.;x
EXILE_IMPRISONED_INTERACTION_2;Изгнание вассала без законного повода расценивается как акт тирании, чем снижает мнение других вассалов о Вас на §R$OPINION$§!.;x
declare_feud_desc;Вражда с другим кланом позволяет Вам объявить войну за "оспаривание" титула (только если Вы не каган - в этом случае, Вы не в праве объявлять войны или совершать налёты на подчинённые Вам кланы).;x
SETTLE_FEUD_INTERACTION_DESC;Предложить мир и окончание вражды с кланом [Recipient.Clan.GetName]. Это будет стоить нам §R$COST$§!¤.;x
SETTLE_FEUD_INTERACTION_LONG_DESC;Предложить мир и окончание вражды с кланом [Recipient.Clan.GetName], заплатив им существенную сумму денег - кровавых денег...;x
ABSORB_CLAN_INTERACTION_DESC;Поглотить клан §Y[Recipient.Clan.GetName]§! - полезно, если у Вас слишком много кланов.;x
ABSORB_CLAN_INTERACTION_LONG_DESC;Поглощение клана - непопулярная мера, но она может быть необходима, когда кланов слишком много.;;
FORM_BLOOD_OATH_INTERACTION_DESC;Клятва на крови сделает клан §Y[Recipient.Clan.GetName]§! верным союзником, пока оба правителя живы. Тем не менее, кровное братство возможно только с одним из кланов.;x
FORM_BLOOD_OATH_INTERACTION_LONG_DESC;Клятва на крови сделает клан верным союзником, пока оба правителя живы. Тем не менее, кровное братство возможно только с одним из кланов.;x
adopt_faith_desc;Вы можете принять веру клана [Root.Clan.GetName]. [Root.Religion.GetName] имеет свои преимущества...;x
GOV_PRESTIGE_LAW_CHANGE_DESC;Законы принимаются за счёт престижа, а не голосования;x
LAW_NORMAL_CHANGE_PIETY_COST;$GOV$: для принятия закона требуется $PIETYNAME$ (стоимость: $PIETY$ очков);x
LAW_DE_JURE_CHANGE_PIETY_COST;$GOV$: для принятия закона Короны требуется $PIETYNAME$ (стоимость: $PIETY$ очков);x
LAW_NORMAL_CHANGE_PRESTIGE_COST;$GOV$: принятие закона будет стоить $PRESTIGE$ очков престижа;x
LAW_DE_JURE_CHANGE_PRESTIGE_COST;$GOV$: принятие закона Короны будет стоить $PRESTIGE$ очков престижа;x
NO_TEMPLE_HOLDING;Нет храмовых владений;x
clan_opinion_splitted_blood_brother_clan;Расколол клан моего кровного брата;x
clan_opinion_splitted_my_clan;Расколол мой клан;x;
PROVINCE_EXTEND_DESC;§YПоказать фактории и форты§!;x
PROVINCE_EXTEND_DESC_LONG;Открыть вкладку, отображающую местные торговые представительства и форты.;x
#BUILD_FORT_DESC;Forts can be built in all provinces you control, including occupied enemy counties. Forts cost §Y$COST$§!¤ to construct, and can be upgraded to regular Castle Holdings (§GRight-Click the Holding§!). Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition enjoyed by certain Pagan tribes in their homelands.;Vous pouvez construire des forts dans les provinces que vous contrфlez, y compris dans celles que vous occupez en territoire ennemi. Construire un fort coыte §Y$COST$§!¤ et les forts peuvent кtre amйliorйs en domaines fortifiйs (§Gclic droit sur le domaine§!). Les forts pйrennisent l'occupation de provinces nomades vides et annulent la forte attrition dont bйnйficient certaines tribus paпennes sur leurs terres d'origine.;Der Bau von Forts ist in allen Provinzen, die von Euch kontrolliert werden, mцglich, sogar in feindlichen. Ein Fort hat Baukosten von §Y$COST$§!¤ und kann zu einer normalen Burgliegenschaft ausgebaut werden (§GRechtsklick auf die Liegenschaft§!). Diese Forts ermцglichen es, leere Nomadenprovinzen dauerhaft zu besetzen. AuЯerdem wirken sie der vernichtenden Zermьrbung auf dem Territorium mancher heidnischer Stдmme entgegen.;;Las fortalezas se pueden construir en todas las provincias que controlas, incluyendo los condados enemigos ocupados. Cuesta §Y$COST$§!¤ construir una fortaleza y pueden ser mejoradas a una posesiуn regular de castillo (Ў§GHaz-clic-derecho en Posesiуn§!). Las fortalezas bloquean la ocupaciуn de provincias nуmadas vacнas y anulan el aplastante desgaste del que disfrutan ciertas tribus paganas en sus tierras natales;;;;;;;;x;
BUILD_TRADE_POST_DESC;Торговые представительства (фактории) могут быть построены вдоль побережья даже на чужих территориях знатными купеческими семьями торговых республик за §Y$COST$§!¤. Кроме того, любой местный правитель также может построить торговый пост на своих землях, но только, если через них проходит Великий Шёлковый путь. (Используйте режим карты §YТорговые Зоны§!);x
PROVINCE_NOT_UNDER_SIEGE;§Y$PROVINCE$§! НЕ находится в осаде.;x
ABSORB_CLAN_INTERACTION_4;Другие вассальные кланы не станут возражать против поглощения предательского клана.;x
TECHPOINTS_FROM_BUILDINGS;От построек: §Y$AMOUNT$§!\n;x
RULER_HAS_MOVED_CAPITAL_RECENTLY_NOMAD;§Y[GetTitledFirstName]§! не может снова перенести столицу ещё $MONTHS$ месяцев.;x
MANPOWER_BREAKDOWN;Текущие потери людских ресурсов;x
LIEGE_LEVY_DESC_OWNS;§Y$VASSAL$§! всего имеет §Y$NUM$§! войск\n;x
LIEGE_LEVY_DESC_OWNS_DEPLETION;Из-за потерь населения §Y$VASSAL$§! может собрать только §Y$NUM$§! войск\n;x
TRIBAL_VASSAL_CALL_TO_ARMS_BUTTON_NO_WAR;§Y$VASSAL$§! ( §Y$MEN$§! человек );x
ALLIES_POTENTIAL;Потенциальные союзники в войне;x
SUZERAIN_OF;§Y$OTHER$§! - данник;x
SET_SPECIAL_TITLE_DESC;§Y$CHARACTER$§! получит титул §Y$TITLE$§!\n;x;
REMOVE_SPECIAL_TITLE_DESC;§Y$CHARACTER$§! лишится титула §Y$TITLE$§!\n;x;
BOY;юноша;x
#GIRL;девушка;x
employ_soldier;Новый полководец;x
employ_soldier_desc;Найти среди солдат Вашей армии того, кто бы мог командовать войсками.;x
ISNT_COUNTY_CAPITAL;НЕ является столицей округа;x
IS_COUNTY_CAPITAL;Является столицей округа;x
tocharian;Тохарск;x
no_horse_breeder_desc;В степи всегда есть спрос на быстрых и сильных лошадей.;x
TERRAIN_IS;Местность;x
HORDE_RETTYPE_INDIAN;Боевые слоны;x
HORDE_RETTYPE_DESERT;Боевые верблюды;x
HOLYSITE_UNBUILT;Священное место §Y$SITENAME$§! нуждается в храме;x
CALL_ALLY_BLOOD_BROTHERS;\n§YВы - кровные братья, он не сможет нам отказать.§!;x
INTERACTION_CALL_TO_WAR_HAS_VALID_TARGET;Должна быть объявлена подходящая война, на призыв к которой §Y[Recipient.GetTitledFirstName]§! сможет Вам ответить.;x
SUZERAIN_RELATIONSHIP;§Y$SUZERAIN$§! взимает дань с правителя по имени §Y$TRIBUTARY$§!.;x
MERC_RIVAL_REASON;\n§Y[GetBestName]§! не станет служить Вам, ибо Вы - соперники.;x
MERC_FRIEND_REASON;\n§Y[GetBestName]§! не станет служить Вам, пока Вы сражаетесь с [GetAbsPossPronoun] другом по имени §Y$CHAR$§!.;x
NOMAD_UNUSED_MANPOWER_MODIFIER;Свободные людские ресурсы;x
CURRENT_POPULATION;Текущее население;x
adopt_tribalism_named;Осесть на земле [Root.GetBaseName];x #[Root.GetName]
adopt_republicanism_named;Основать торговую республику [Root.GetBaseName];x #[Root.GetName]
adopt_feudalism_named;Принять феодализм и осесть на земле [Root.GetBaseName];x #[Root.GetName]
CHRONICLE_NOMAD_FOUNDED_MERCHANT_REPUBLIC;B этот день [From.GetDynName] основал[From.GetEndA] новую торговую республику в своих землях, оставляя кочевую жизнь позади.;x
nomad_adopt_republicanism;Основать торговую республику;x
nomad_adopt_republicanism_named;Основать торговую республику [Root.GetBaseName];x #[Root.GetName]
nomad_adopt_republicanism_desc;Я могу оставить кочевую жизнь позади и основать торговую республику.;x
SET_TITLE_NOMAD_EFFECT;§Y$TITLE$§! станет кочевым титулом.\n;x
UNSET_TITLE_NOMAD_EFFECT;§Y$TITLE$§! перестанет быть кочевым титулом.\n;x
GLOBAL_MODIFIER_TRADE_ROUTE_WEALTH;Богатство торгового пути;x
GLOBAL_MODIFIER_TRADE_ROUTE_VALUE;Доход торгового пути;x
GLOBAL_MODIFIER_TRADEVALUE;Торговая ценность торгового пути;x
HAS_COUNTY_CAPITAL;Имеет столицу округа;x
HASNT_COUNTY_CAPITAL;НЕ имеет столицу округа;x
INTER_REALM_LOOTING;Внутренние грабежи;x
INTER_REALM_LOOTING_DESC;Всё награбленное этим войском поступит в личную казну его обладателя, поскольку оно грабит земли собственного государства.;x
nomad_settle_conversion_tooltip;Благодаря размеру населения, новые земли могут приобрести [From.Culture.GetName]ую культуру и принять [From.Religion.GetName].\n;x
is_not_busy_trigger_tooltip;НЕ проводит мероприятий, праздников, путешествий и прочих особых действий\n;x
ISNT_NOMADIC;НЕ кочевой;x
REALM_PROVINCE_STARTS;Любой округ страны;x
NOT_REALM_PROVINCE_STARTS;Ни один округ страны;x
EVTDESC6061;Проснувшись сегодня утром, я замечаю, что чувствую себя намного лучше. Хворь отступила!;x
choose_warhorse_nomad;Выбрать боевого коня;x
choose_warhorse_nomad_desc;Сильный [Root.Culture.GetName]ий правитель должен иметь сильного коня. Я могу отправится на его поиски осматривать табуны. Это потребует некоторых расходов на снаряжение.;x
nomad_acquires_warhorse_tooltip;Ищет себе коня.;x
nomad_warhorse;Превосходный конь;x
nomad_warhorse_desc;Эт[GetEtaEtot] [GetAgedPerson] выбрал[GetEndA] себе хорошего коня, что дарует [GetHerHim] дополнительный престиж.;x;
#;;;;;;;;;;;;;;x
